subtitle,sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,street_name,floor,is_floor_under,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,energy_certificate,has_parking,price_m2,total_rooms,m2_per_room
Abrantes,75.0,3,1.0,True,Calle Francisco Paíno,2,False,False,130000,1733,True,Flat,False,False,False,True,in process,False,1964.55,4.0,18.75
Abrantes,78.0,2,1.0,False,Calle del Chimbo,2,False,False,165000,2115,True,Flat,False,False,False,True,G,False,1964.55,3.0,26.0
Abrantes,95.0,2,1.0,True,Via Lusitana,1,False,False,255800,2693,True,Attic,False,False,True,missing,G,True,1964.55,3.0,31.666666666666668
Abrantes,96.0,3,2.0,True,Avenida de los Poblados,2,False,False,300000,3125,True,Flat,False,False,True,True,in process,True,1964.55,5.0,19.2
Abrantes,70.0,2,1.0,True,"Calle Papagayo, Madrid",3,False,False,99000,1414,True,Flat,False,False,False,True,F,False,1964.55,3.0,23.333333333333332
Abrantes,78.0,2,1.0,True,Calle del Chimbo,2,False,False,170000,2179,True,Flat,False,False,False,True,F,False,1964.55,3.0,26.0
Abrantes,91.0,2,1.0,True,Camino Viejo de Leganés,3,False,False,177450,1950,True,Flat,False,False,True,True,in process,False,1964.55,3.0,30.333333333333332
Abrantes,100.0,3,2.0,False,Calle Antonio Romero,4,False,False,290000,2900,True,Flat,False,False,True,True,E,True,1964.55,5.0,20.0
Abrantes,104.0,4,2.0,True,Calle Ontanilla,1,False,False,344900,3316,True,Flat,False,False,True,True,D,False,1964.55,6.0,17.333333333333332
Abrantes,80.0,2,1.0,True,Calle de la Hermandad,1,False,False,145890,1824,True,Flat,False,missing,False,True,not indicated,False,1964.55,3.0,26.666666666666668
Abrantes,81.0,3,1.0,True,Avenida OPORTO,3,False,False,159000,1963,True,Flat,False,False,True,True,E,False,1964.55,4.0,20.25
Abrantes,60.0,3,1.0,True,Calle de Carrero Juan Ramón,4,False,False,130000,2167,True,Flat,False,False,False,True,not indicated,False,1964.55,4.0,15.0
Abrantes,84.0,3,2.0,True,"Via Lusitana, Madrid",2,False,False,169900,2023,True,Flat,True,False,True,True,E,False,1964.55,5.0,16.8
Abrantes,60.0,2,1.0,True,Calle Eulalia Paíno,0,True,False,84500,1408,True,Flat,False,False,False,True,in process,False,1964.55,3.0,20.0
Abrantes,55.0,2,1.0,True,Calle de la Hermandad,3,False,False,129000,2345,True,Flat,False,missing,missing,True,in process,False,1964.55,3.0,18.333333333333332
Abrantes,102.0,3,2.0,True,Avenida abrantes,3,False,False,240000,2353,True,Flat,False,False,True,True,in process,False,1964.55,5.0,20.4
Abrantes,60.0,3,1.0,True,Calle busaco,1,False,False,107260,1788,True,Flat,False,False,False,True,in process,False,1964.55,4.0,15.0
Abrantes,103.0,3,2.0,True,Calle Besolla,1,False,False,140000,1359,True,Flat,False,False,True,True,not indicated,False,1964.55,5.0,20.6
Abrantes,72.0,3,1.0,True,Plaza de las Meninas,4,False,False,133500,1854,True,Flat,False,False,True,True,not indicated,False,1964.55,4.0,18.0
Abrantes,100.0,3,2.0,True,Calle Antonio Romero,4,False,False,290000,2900,True,Flat,False,False,True,True,E,True,1964.55,5.0,20.0
Abrantes,100.0,3,2.0,False,Calle Antonio Romero,6,False,False,305000,3050,True,Flat,False,False,True,True,E,True,1964.55,5.0,20.0
Abrantes,65.0,3,1.0,True,Plaza Alcalde Brell,2,False,False,119000,1831,True,Flat,False,False,False,True,E,False,1964.55,4.0,16.25
Abrantes,75.0,3,2.0,True,Camino viejo de leganes,2,False,False,115000,1533,True,Flat,False,False,False,True,in process,False,1964.55,5.0,15.0
Abrantes,80.0,3,1.0,True,Via LUSITANA,1,False,False,163000,2038,True,Flat,False,False,True,True,G,False,1964.55,4.0,20.0
Abrantes,78.0,2,1.0,True,Calle del Chimbo,2,False,False,170000,2179,True,Flat,False,False,False,True,in process,False,1964.55,3.0,26.0
Abrantes,58.0,2,2.0,True,Calle de Rodríguez Vega,3,False,False,139900,2412,True,Flat,False,missing,missing,True,in process,False,1964.55,4.0,14.5
Abrantes,65.0,2,1.0,True,Camino Viejo de Leganés,4,False,False,100000,1538,True,Flat,False,False,False,True,not indicated,False,1964.55,3.0,21.666666666666668
Abrantes,76.0,3,1.0,True,Via Lusitana,2,False,False,236000,3105,True,Flat,False,False,True,missing,in process,True,1964.55,4.0,19.0
Abrantes,142.0,3,2.0,False,Calle de Polán,3,False,False,305000,2148,True,Flat,False,False,True,True,E,True,1964.55,5.0,28.4
Abrantes,76.0,3,1.0,False,Calle de Luis Domingo,0,True,False,130000,1711,True,Flat,False,False,False,True,E,False,1964.55,4.0,19.0
Abrantes,69.0,3,1.0,False,Camino Viejo de Leganés,1,False,False,136100,1972,True,Flat,False,False,False,True,F,False,1964.55,4.0,17.25
Abrantes,50.0,1,1.0,True,Calle Ana Albi,3,False,False,159900,3198,True,Attic,False,False,True,True,in process,False,1964.55,2.0,25.0
Abrantes,72.0,3,1.0,True,Plaza Rendición de Breda,4,False,False,169000,2347,True,Flat,False,False,True,True,in process,False,1964.55,4.0,18.0
Abrantes,62.0,2,1.0,True,Avenida de Abrantes,1,False,False,129900,2095,True,Flat,False,False,True,missing,in process,False,1964.55,3.0,20.666666666666668
Abrantes,91.0,3,1.0,True,Camino Viejo de Leganés,4,False,False,220000,2418,True,Flat,False,False,True,True,in process,False,1964.55,4.0,22.75
Abrantes,44.0,2,1.0,False,missing,3,False,False,118000,2682,True,Flat,False,missing,False,missing,E,False,1964.55,3.0,14.666666666666666
